country,code,indicator,ind_code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Curacao,CUW,CO2 emissions (kt),EN.ATM.CO2E.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5999.212,5214.474,5881.868,,,
Cayman Islands,CYM,CO2 emissions (kt),EN.ATM.CO2E.KT,11.001,11.001,11.001,11.001,11.001,11.001,18.335,14.668,22.002,44.004,36.67,44.004,55.005,58.672,55.005,55.005,66.006,69.673,91.675,91.675,161.348,154.014,161.348,168.682,183.35,190.684,201.685,216.353,223.687,256.69,249.356,271.358,311.695,330.03,363.033,363.033,385.035,407.037,429.039,429.039,465.709,469.376,487.711,495.045,462.042,473.043,484.044,572.052,583.053,557.384,557.384,586.72,535.382,535.382,542.716,,,
Cyprus,CYP,CO2 emissions (kt),EN.ATM.CO2E.KT,887.414,865.412,905.749,986.423,1001.091,1151.438,1243.113,1364.124,1624.481,1672.152,1705.155,1884.838,2405.552,2500.894,1925.175,1980.18,2464.224,2669.576,2808.922,3003.273,3208.625,3047.277,3102.282,3098.615,3182.956,3102.282,3545.989,4121.708,4129.042,4341.728,4374.731,4690.093,5181.471,5449.162,5643.513,5383.156,5936.873,5859.866,6406.249,6376.913,6930.63,6846.289,7022.305,7748.371,7334,7502.682,7788.708,8195.745,8577.113,8111.404,7708.034,7425.675,6919.629,5947.874,6061.551,,,
Czech Republic,CZE,CO2 emissions (kt),EN.ATM.CO2E.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138176.227,132631.723,125734.096,123830.923,125378.397,127413.582,122543.806,111975.512,123849.258,123720.913,119749.552,122059.762,116775.615,120108.918,122107.433,123302.875,116658.271,107659.453,111579.476,106907.718,101029.517,98675.303,96475.103,,,
Germany,DEU,CO2 emissions (kt),EN.ATM.CO2E.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,929973.202,891975.748,877645.112,865558.68,864110.215,889614.2,862276.715,855364.42,822460.429,829977.779,853662.932,829724.756,822812.461,816802.248,797180.131,816472.218,780546.619,780564.954,722263.321,758859.981,732497.918,739861.254,757312.507,719883.438,,,
Djibouti,DJI,CO2 emissions (kt),EN.ATM.CO2E.KT,40.337,44.004,47.671,66.006,84.341,121.011,139.346,88.008,121.011,84.341,139.346,161.348,190.684,179.683,194.351,198.018,198.018,198.018,201.685,363.033,348.365,300.694,348.365,348.365,352.032,359.366,377.701,388.702,348.365,388.702,322.696,311.695,311.695,311.695,304.361,304.361,311.695,326.363,315.362,315.362,341.031,366.7,399.703,421.705,407.037,414.371,410.704,462.042,498.712,462.042,517.047,473.043,517.047,608.722,722.399,,,
Dominica,DMA,CO2 emissions (kt),EN.ATM.CO2E.KT,11.001,11.001,11.001,14.668,14.668,14.668,14.668,22.002,22.002,18.335,25.669,25.669,25.669,25.669,29.336,29.336,29.336,25.669,25.669,33.003,36.67,36.67,40.337,40.337,44.004,47.671,47.671,47.671,55.005,58.672,58.672,58.672,58.672,62.339,66.006,80.674,73.34,80.674,77.007,80.674,102.676,110.01,102.676,117.344,113.677,117.344,113.677,154.014,132.012,132.012,139.346,128.345,135.679,132.012,135.679,,,
Denmark,DNK,CO2 emissions (kt),EN.ATM.CO2E.KT,29779.707,31734.218,36926.69,40707.367,43189.926,44337.697,50127.89,49075.461,53325.514,59401.733,62100.645,57062.187,59643.755,59266.054,55078.34,55778.737,60135.133,61847.622,61117.889,62999.06,60369.821,51789.041,53695.881,50175.561,50861.29,60072.794,58903.021,58341.97,55107.676,48785.768,50230.566,60270.812,54322.938,57065.854,61000.545,57172.197,72181.228,61557.929,59552.08,55148.013,51330.666,52918.477,52049.398,55998.757,50600.933,47095.281,54986.665,50256.235,46933.933,44510.046,46640.573,40645.028,36427.978,38532.836,33498.045,,,
Dominican Republic,DOM,CO2 emissions (kt),EN.ATM.CO2E.KT,1041.428,1030.427,1243.113,1250.447,1749.159,1547.474,1672.152,1569.476,2350.547,2654.908,3109.616,3523.987,4675.425,5966.209,6417.25,6340.243,6332.909,5614.177,5449.162,6809.619,6457.587,6167.894,6340.243,7913.386,7444.01,7293.663,8181.077,9754.22,9834.894,10366.609,9229.839,10043.913,10923.993,11763.736,12475.134,15885.444,17326.575,18001.303,18397.339,18562.354,19790.799,19816.468,21330.939,21514.289,18309.331,18639.361,19783.465,21173.258,20711.216,20227.172,21022.911,21228.263,22123.011,21440.949,21539.958,,,
Algeria,DZA,CO2 emissions (kt),EN.ATM.CO2E.KT,6160.56,6065.218,5669.182,5427.16,5650.847,6596.933,8430.433,8441.434,9061.157,11276.025,15075.037,18668.697,28349.577,38312.816,31906.567,32031.245,39170.894,41891.808,62529.684,45621.147,66519.38,46438.888,39269.903,52625.117,71103.13,72786.283,76277.267,84120.98,83948.631,80046.943,76970.33,79049.519,80138.618,82210.473,86416.522,95294.329,97098.493,87340.606,106999.393,92045.367,87861.32,84219.989,89907.506,91575.991,88510.379,107278.085,101069.854,109404.945,110208.018,121399.702,119177.5,121187.016,129987.816,134465.223,145400.217,,,
East Asia & Pacific (excluding high income),EAP,CO2 emissions (kt),EN.ATM.CO2E.KT,852797.3247,623027.4699,509627.2828,506657.0519,513528.312,558536.9528,616280.8899,535188.9096,584688.5773,705613.3561,914610.6922,1029392.067,1091262.418,1143764.001,1160766.995,1328935.835,1392354.62,1535491.688,1706619.674,1749063.882,1725480.044,1714592.619,1851104.178,1952649.422,2104261.932,2275308.03,2388444.194,2546786.436,2732538.932,2785211.736,2864274.913,3045419.521,3216890.329,3457279.92,3667655.24,3996721.665,4202090.885,4259610.792,4016009.109,4049087.371,4197275.787,4342204.05,4736796.183,5488494.26,6246987.453,6940455.837,7575023.45,8122758.081,8727787.298,9227347.392,10039666.1,11172154.62,11515570.1,11634035.38,11688627.33,,,
Early-demographic dividend,EAR,CO2 emissions (kt),EN.ATM.CO2E.KT,582183.3655,606142.9381,641190.7884,671869.7177,716683.6045,768296.144,807440.4858,877563.9495,972043.8926,1021630.592,1098450.154,1171859.551,1224906.055,1347948.991,1399948.247,1430968.187,1555575.996,1666901.659,1749878.457,1848615.759,1938021.641,2012198.92,2102818.927,2158703.384,2234946.605,2354466.65,2473250.512,2573525.706,2700345.921,2827455.214,2851174.984,3077550.432,3173489.861,3330373.204,3448305.264,3500968.895,3684279.405,3784619.025,3885534.865,4080692.605,4236793.128,4289755.609,4370301.264,4598872.708,4833377.358,5002701.083,5278881.188,5489631.012,5868138.752,6099152.418,6167446.626,6501539.662,6881092.497,6722579.088,7079254.546,,,
East Asia & Pacific,EAS,CO2 emissions (kt),EN.ATM.CO2E.KT,1210071.825,1041180.505,948555.1623,991794.6225,1046001.613,1134631.207,1230384.455,1241556.911,1376913.792,1608550.078,1971531.759,2127031.634,2264146.34,2412761.036,2434009.167,2570142.392,2701949.694,2903579.162,3081138.28,3203041.886,3193797.449,3161341.919,3279927.01,3379308.412,3613904.521,3782659.942,3913007.986,4093944.878,4421226.098,4559018.581,4703785.132,4912997.308,5156986.824,5447899.737,5758134.254,6122092.977,6413087.369,6523428.282,6184239.137,6313362.347,6547512.565,6681613.48,7132996.323,7900304.851,8716017.439,9373914.303,10029012.42,10634881.15,11224859.74,11631078.23,12584718.18,13753828.83,14109486.43,14258139.27,14272114.68,,,
Europe & Central Asia (excluding high income),ECA,CO2 emissions (kt),EN.ATM.CO2E.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3763548.443,3456731.038,3027704.986,2935576.624,2869776.001,2685747.726,2645068.935,2655558.835,2693323.973,2693773.38,2710131.781,2829745.105,2862282.146,2881292.047,2992020.004,3035024.256,3090503.893,2812194.397,3014100.885,3162405.474,3226413.939,3138263.123,3029861.394,,,
Europe & Central Asia,ECS,CO2 emissions (kt),EN.ATM.CO2E.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7644380.699,7275289.962,6816598.173,6775802.785,6822776.152,6568968.201,6552558.986,6506503.617,6557163.783,6640964.419,6628475.203,6820399.722,6864186.007,6866418.075,7002692.168,6971910.563,6959492.281,6390990.536,6703823.285,6682339.143,6685250.94,6551568.981,6245991.857,,,
Ecuador,ECU,CO2 emissions (kt),EN.ATM.CO2E.KT,1763.827,1646.483,1565.809,1796.83,2145.195,2277.207,2420.22,2592.569,3116.95,3593.66,4283.056,4224.384,4594.751,5262.145,6090.887,7363.336,8111.404,7484.347,10425.281,12167.106,13443.222,16692.184,19288.42,19556.111,21257.599,19431.433,15276.722,15115.374,17271.57,20267.509,16827.863,16497.833,22280.692,24205.867,13652.241,22841.743,24191.199,18360.669,22460.375,21495.954,20718.55,23116.768,24950.268,26967.118,29046.307,30263.751,28859.29,31888.232,33868.412,36068.612,36460.981,38609.843,38140.467,40997.06,43919.659,,,
"Egypt, Arab Rep.",EGY,CO2 emissions (kt),EN.ATM.CO2E.KT,16054.126,17088.22,18595.357,21554.626,25522.32,27641.846,26563.748,19677.122,22904.082,19695.457,21686.638,23047.095,25511.319,23795.163,26123.708,31099.827,34495.469,37865.442,39313.907,42947.904,45239.779,50978.634,56523.138,57091.523,63838.803,63937.812,74564.778,74810.467,74531.775,72181.228,75943.57,78715.822,81264.387,93156.468,85312.755,95723.368,102030.608,108202.169,122243.112,125393.065,141326.18,125451.737,127193.562,147963.45,150911.718,167207.866,178586.567,189092.522,198586.385,206734.459,202715.427,217163.407,217068.065,213412.066,201894.019,,,
Euro area,EMU,CO2 emissions (kt),EN.ATM.CO2E.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2648355.742,2580075.531,2526548.332,2513970.522,2567956.096,2634270.124,2600981.098,2648245.061,2618685.374,2637002.039,2702325.977,2701885.937,2741595.88,2767041.193,2750877.057,2752365.859,2704749.864,2642509.873,2443076.411,2496137.901,2402097.686,2352138.478,2308651.525,2191542.213,,,
Eritrea,ERI,CO2 emissions (kt),EN.ATM.CO2E.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,865.412,935.085,1012.092,865.412,590.387,619.723,608.722,630.724,605.055,726.066,770.07,766.403,561.051,579.386,414.371,513.38,513.38,594.054,660.06,667.394,696.73,,,
Spain,ESP,CO2 emissions (kt),EN.ATM.CO2E.KT,48928.781,53677.546,60054.459,58822.347,64410.855,71117.798,77729.399,86519.198,97157.165,96882.14,116929.629,128682.364,145026.183,155367.123,173152.073,181644.845,198443.372,195663.786,200493.225,203745.854,215003.544,207288.176,209906.414,204867.956,198953.085,201233.959,190467.647,190878.351,199033.759,226671.938,218597.204,225634.177,233921.597,219253.597,233404.55,241611.296,233305.541,252073.247,261541.441,282355.333,294434.431,297830.073,314518.59,321097.188,339428.521,353462.13,350037.152,358236.564,329285.599,288237.201,270910.626,270547.593,264779.402,237034.88,233976.602,,,
Estonia,EST,CO2 emissions (kt),EN.ATM.CO2E.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23879.504,19508.44,19042.731,17520.926,18349.668,18107.646,16310.816,15159.378,14858.684,15570.082,14888.02,17124.89,17282.571,16754.523,16175.137,18709.034,17491.59,14565.324,18107.646,18606.358,17623.602,19893.475,19519.441,,,
Ethiopia,ETH,CO2 emissions (kt),EN.ATM.CO2E.KT,352.032,341.031,396.036,421.705,407.037,645.392,825.075,1074.431,1727.157,1668.485,1653.817,1851.835,1408.128,1752.826,1738.158,1210.11,1177.107,1048.762,1371.458,1848.168,1822.499,1866.503,1481.468,1844.501,1664.818,1815.165,2214.868,2581.568,2673.243,2827.257,3017.941,2984.938,2966.603,3028.942,2240.537,2563.233,2860.26,3050.944,3219.626,3157.287,3549.656,4352.729,4521.411,4987.12,5295.148,5119.132,5504.167,6013.88,6578.598,6629.936,6585.932,7726.369,8562.445,10634.3,11598.721,,,
European Union,EUU,CO2 emissions (kt),EN.ATM.CO2E.KT,2359594.886,2445945.664,2587255.911,2763661.258,2879590.411,2977005.808,3066068.197,3135494.784,3317198.681,3520600.659,3753440.756,3846741.985,3999496.06,4203895.412,4142868.585,4065317.555,4331569.684,4315907.794,4457560.888,4647643.766,4518359.15,4266013.116,4171917.105,4111986.351,4084428.697,4189511.407,4179574.029,4258989.941,4202996.736,4323273.817,4100786.671,4112588.931,3994290.751,3938794.373,3884988.482,3947855.53,4055918.353,3963003.907,3968801.434,3896092.158,3911984.936,3997697.394,3973997.573,4047102.885,4056134.706,4039746.883,4071767.127,4003410.58,3915303.571,3601566.052,3709775.555,3568090.009,3494155.955,3421472.348,3241844.353,,,
Fragile and conflict affected situations,FCS,CO2 emissions (kt),EN.ATM.CO2E.KT,33985.80584,35050.01654,36966.84797,37422.80398,39474.60599,52451.8305,65592.31442,72434.02261,99440.16596,106038.8834,104934.0348,105287.1308,98005.00186,103271.0669,101585.3186,104125.3313,132167.982,129282.4669,129889.9438,156835.3394,149735.4536,142172.3666,142768.4533,157757.9449,163513.7882,173442.2382,181263.5028,193302.9349,217317.2547,220992.4898,192274.021,199292.0968,210291.7634,218649.4109,237208.4718,240213.1679,237110.205,240783.8712,252540.8372,257411.9036,258540.0592,273383.4175,266391.8712,291644.5552,321207.2014,324231.3395,314031.4724,289985.4271,330822.603,347247.9712,365200.4915,366671.0823,382745.7712,409663.1311,422731.8561,,,
Finland,FIN,CO2 emissions (kt),EN.ATM.CO2E.KT,15104.373,14939.358,16809.528,19358.093,22852.744,25327.969,29519.35,28617.268,33314.695,37935.115,40395.672,40582.689,44161.681,49387.156,46680.91,46101.524,51279.328,50219.565,51913.719,54333.939,58246.628,51510.349,43083.583,41576.446,42254.841,49665.848,53329.181,57656.241,52185.077,52584.78,51745.037,53699.548,47472.982,50402.915,57223.535,52713.125,61282.904,59933.448,56988.847,55423.038,52427.099,57051.186,61682.607,69130.284,67091.432,54645.634,66200.351,63985.483,56519.471,53149.498,62082.31,56816.498,49134.133,47219.959,47300.633,,,
Fiji,FJI,CO2 emissions (kt),EN.ATM.CO2E.KT,194.351,168.682,231.021,242.022,425.372,344.698,322.696,355.699,396.036,432.706,520.714,550.05,579.386,630.724,671.061,623.39,484.044,766.403,711.398,839.743,795.739,1081.765,839.743,715.065,583.053,579.386,605.055,476.71,553.717,630.724,814.074,671.061,748.068,751.735,748.068,762.736,821.408,792.072,770.07,784.738,843.41,1056.096,891.081,1048.762,1353.123,1096.433,1217.444,1158.772,894.748,792.072,1221.111,1089.099,1059.763,1151.438,1169.773,,,
France,FRA,CO2 emissions (kt),EN.ATM.CO2E.KT,271218.654,281211.229,298706.486,334019.696,345303.055,351852.317,347235.564,372009.816,384631.63,413259.899,439013.24,462434.369,480729.032,516599.626,499071.366,446919.292,505602.293,480857.377,505858.983,529155.434,505363.938,454700.666,436893.714,422603.415,405342.846,400880.107,385614.386,377491.981,372207.834,390649.177,375691.484,390689.514,365893.26,359916.05,338119.402,349160.739,375306.449,351562.624,377444.31,368918.535,362226.26,377535.985,375075.428,380689.605,383758.884,385368.697,375764.824,369142.222,366325.966,351899.988,353033.091,331804.828,333227.624,334096.703,303275.568,,,
Faroe Islands,FRO,CO2 emissions (kt),EN.ATM.CO2E.KT,58.672,113.677,117.344,124.678,121.011,135.679,139.346,168.682,183.35,212.686,256.69,260.357,234.688,253.023,300.694,348.365,330.03,407.037,399.703,480.377,421.705,440.04,458.375,487.711,498.712,517.047,491.378,498.712,528.048,579.386,711.398,667.394,649.059,583.053,575.719,572.052,601.388,590.387,623.39,630.724,689.396,762.736,726.066,733.4,748.068,722.399,678.395,689.396,630.724,575.719,630.724,568.385,590.387,678.395,597.721,,,
"Micronesia, Fed. Sts.",FSM,CO2 emissions (kt),EN.ATM.CO2E.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.009,99.009,102.676,106.343,106.343,110.01,117.344,110.01,124.678,168.682,143.013,143.013,143.013,121.011,121.011,139.346,117.344,161.348,113.677,121.011,135.679,143.013,150.347,,,
Gabon,GAB,CO2 emissions (kt),EN.ATM.CO2E.KT,132.012,165.015,88.008,73.34,190.684,216.353,381.368,1012.092,1961.845,1433.797,2082.856,2845.592,2739.249,5313.483,5452.829,5368.488,5709.519,6314.574,7561.354,6754.614,6633.603,6574.931,6556.596,5518.835,5995.545,6318.241,4968.785,4022.699,4334.394,5771.858,4499.409,4536.079,4932.115,4990.787,4389.399,4624.087,4774.434,4796.436,4979.786,4807.437,4693.76,4800.103,4572.749,4642.422,4686.426,4888.111,4173.046,4118.041,4173.046,4250.053,4811.104,4972.452,5104.464,5280.48,5192.472,,,
United Kingdom,GBR,CO2 emissions (kt),EN.ATM.CO2E.KT,584299.78,588938.535,593360.937,603822.888,608355.3,622619.93,618564.228,592517.527,606969.174,628857.497,653063.364,660863.073,648486.948,660034.331,617607.141,603643.205,598912.775,604746.972,605084.336,644893.288,579290.658,560819.979,548520.861,545741.275,529335.117,559855.558,568777.369,571868.65,570464.189,581721.879,555924.534,566830.192,556280.233,545711.939,546738.699,538117.582,551436.126,527343.936,531905.684,530937.596,541784.582,545862.286,528642.054,540006.087,539239.684,542580.321,541458.219,528425.701,520688.331,471719.213,493207.833,447828.708,468572.927,458250.322,419820.162,,,
Georgia,GEO,CO2 emissions (kt),EN.ATM.CO2E.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15335.394,9952.238,6083.553,2302.876,4066.703,4437.07,4961.451,4345.395,4536.079,3769.676,3388.308,3773.343,4323.393,5067.794,6149.559,6420.917,5166.803,6241.234,6314.574,7972.058,8441.434,7858.381,8987.817,,,
Ghana,GHA,CO2 emissions (kt),EN.ATM.CO2E.KT,1463.133,1345.789,1433.797,1723.49,1650.15,1705.155,1441.131,1496.136,1763.827,1690.487,2625.572,2295.542,2423.887,2475.225,2937.267,2746.583,2434.888,3003.273,2970.27,2658.575,2559.566,3047.277,3043.61,3655.999,2581.568,3325.969,3047.277,3285.632,3450.647,3344.304,3817.347,3934.691,3982.362,4547.08,4954.117,5276.813,5610.51,6365.912,6402.582,6549.262,6288.905,6919.629,7422.008,7631.027,7348.668,6992.969,9358.184,9827.56,9138.164,7708.034,9955.905,9831.227,11877.413,14620.329,14466.315,,,
Gibraltar,GIB,CO2 emissions (kt),EN.ATM.CO2E.KT,47.671,51.338,55.005,55.005,55.005,47.671,55.005,62.339,66.006,66.006,69.673,80.674,73.34,84.341,77.007,88.008,77.007,77.007,69.673,91.675,88.008,51.338,22.002,36.67,33.003,44.004,40.337,47.671,69.673,69.673,143.013,198.018,234.688,238.355,282.359,275.025,282.359,293.36,308.028,319.029,333.697,344.698,348.365,355.699,385.035,399.703,418.038,414.371,425.372,462.042,465.709,451.041,462.042,491.378,528.048,,,
Guinea,GIN,CO2 emissions (kt),EN.ATM.CO2E.KT,410.704,616.056,660.06,696.73,700.397,696.73,718.732,726.066,748.068,748.068,792.072,814.074,832.409,803.073,839.743,843.41,887.414,902.082,902.082,946.086,964.421,990.09,982.756,953.42,979.089,993.757,997.424,993.757,1026.76,1045.095,1004.758,1026.76,1059.763,1089.099,1250.447,1290.784,1364.124,1419.129,1503.47,1580.477,1642.816,1719.823,1804.164,1881.171,1943.51,1826.166,1892.172,1969.179,2189.199,2262.539,2603.57,2779.586,2581.568,2299.209,2449.556,,,
"Gambia, The",GMB,CO2 emissions (kt),EN.ATM.CO2E.KT,18.335,22.002,25.669,29.336,29.336,29.336,33.003,33.003,36.67,47.671,47.671,55.005,66.006,62.339,62.339,99.009,99.009,113.677,139.346,146.68,157.681,157.681,161.348,161.348,172.349,172.349,161.348,179.683,183.35,179.683,176.016,179.683,179.683,187.017,187.017,198.018,198.018,198.018,212.686,231.021,245.689,253.023,289.693,289.693,293.36,293.36,308.028,352.032,366.7,381.368,432.706,447.374,454.708,432.706,513.38,,,
Guinea-Bissau,GNB,CO2 emissions (kt),EN.ATM.CO2E.KT,18.335,29.336,40.337,47.671,58.672,66.006,66.006,47.671,62.339,58.672,69.673,73.34,66.006,110.01,102.676,113.677,95.342,102.676,102.676,110.01,146.68,143.013,143.013,143.013,161.348,172.349,183.35,194.351,216.353,231.021,172.349,176.016,179.683,183.35,183.35,183.35,183.35,201.685,172.349,194.351,146.68,150.347,154.014,194.351,201.685,212.686,216.353,231.021,227.354,234.688,238.355,245.689,253.023,256.69,271.358,,,
Equatorial Guinea,GNQ,CO2 emissions (kt),EN.ATM.CO2E.KT,22.002,22.002,22.002,25.669,25.669,29.336,25.669,25.669,29.336,44.004,36.67,66.006,88.008,29.336,51.338,62.339,62.339,62.339,69.673,62.339,58.672,69.673,73.34,62.339,80.674,66.006,80.674,99.009,106.343,117.344,66.006,143.013,157.681,99.009,33.003,128.345,113.677,289.693,165.015,465.709,454.708,3094.948,4979.786,6017.547,5218.141,4712.095,4756.099,4796.436,4503.076,4620.42,4679.092,6127.557,5115.465,5163.136,5346.486,,,
Greece,GRC,CO2 emissions (kt),EN.ATM.CO2E.KT,9405.855,9823.893,10164.924,12258.781,13223.202,17025.881,18650.362,19534.109,22321.029,25474.649,24165.53,27814.195,31572.87,37256.72,36218.959,38873.867,42911.234,46999.939,48081.704,51293.996,51429.675,50721.944,52148.407,55544.049,57054.853,60600.842,59130.375,63472.103,67989.847,74183.41,74278.752,74062.399,75499.863,75712.549,77909.082,78781.828,80241.294,83717.61,87751.31,86636.542,91616.328,93805.527,93669.848,95738.036,97149.831,98675.303,97285.51,98246.264,95965.39,91942.691,83856.956,79841.591,80043.276,69482.316,67318.786,,,
Grenada,GRD,CO2 emissions (kt),EN.ATM.CO2E.KT,22.002,18.335,25.669,14.668,22.002,22.002,29.336,36.67,40.337,47.671,44.004,47.671,47.671,55.005,36.67,47.671,47.671,47.671,51.338,47.671,47.671,58.672,62.339,62.339,62.339,62.339,66.006,73.34,95.342,102.676,106.343,110.01,117.344,121.011,143.013,150.347,154.014,168.682,176.016,194.351,190.684,194.351,205.352,216.353,205.352,216.353,231.021,238.355,253.023,253.023,260.357,253.023,271.358,304.361,242.022,,,
Greenland,GRL,CO2 emissions (kt),EN.ATM.CO2E.KT,223.687,293.36,264.024,330.03,315.362,344.698,388.702,418.038,542.716,407.037,381.368,469.376,553.717,557.384,557.384,506.046,220.02,722.399,392.369,572.052,564.718,528.048,517.047,363.033,568.385,509.713,326.363,234.688,546.383,473.043,553.717,546.383,480.377,498.712,502.379,502.379,517.047,520.714,528.048,539.049,531.715,539.049,539.049,531.715,583.053,608.722,627.057,638.058,660.06,575.719,663.727,707.731,568.385,553.717,506.046,,,
Guatemala,GTM,CO2 emissions (kt),EN.ATM.CO2E.KT,1345.789,1408.128,1382.459,1521.805,1771.161,1976.513,1741.825,1983.847,2141.528,2280.874,2299.209,2442.222,2709.913,2937.267,3069.279,3523.987,3311.301,3813.68,4129.042,4693.76,4510.41,3967.694,3626.663,3179.289,3421.311,3523.987,3700.003,3993.363,4125.375,4246.386,5086.129,5053.126,6017.547,5658.181,6838.955,7165.318,6651.938,7598.024,8753.129,8929.145,9915.568,10626.966,11096.342,10828.651,11620.723,12570.476,12647.483,12625.481,11430.039,11851.744,11664.727,11837.076,11972.755,13633.906,18327.666,,,
Guam,GUM,CO2 emissions (kt),EN.ATM.CO2E.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,GUY,CO2 emissions (kt),EN.ATM.CO2E.KT,660.06,737.067,678.395,616.056,649.059,1078.098,1180.774,1323.787,1331.121,1367.791,1580.477,1499.803,1562.142,1804.164,1554.808,1826.166,1752.826,1899.506,2057.187,1521.805,1789.496,1800.497,1404.461,1246.78,1404.461,1419.129,1045.095,1309.119,1404.461,1184.441,1133.103,1114.768,1045.095,1045.095,1386.126,1463.133,1518.138,1591.478,1657.484,1679.486,1609.813,1595.145,1580.477,1565.809,1628.148,1437.464,1290.784,1562.142,1558.475,1565.809,1719.823,1782.162,1994.848,1936.176,2009.516,,,
High income,HIC,CO2 emissions (kt),EN.ATM.CO2E.KT,5761118.093,5888655.73,6162723.444,6501176.044,6836217.119,7138903.407,7453710.741,7784729.975,8199224.729,8732427.936,9492769.731,9689855.494,10173554.87,10704649.18,10458247.96,10125054.31,10675505.44,10899822.6,11181890.83,11489798.17,11250071.71,10792547.25,10393658.34,10370513.69,10647741.69,10759652.53,10800749.43,11106640.47,11515468.41,11804951.3,11561793.7,11711037.31,11847688.78,12014882.78,12176395.49,12265205.24,12605597.93,12702602.57,12704862.59,12892778.99,13307528.3,13261794.97,13336269.19,13544231.82,13794815.2,13816625.35,13852212.46,13928700.49,13772700.73,13051190.4,13509175.77,13285754.11,13158223.18,13137588.57,13143909.71,,,
"Hong Kong SAR, China",HKG,CO2 emissions (kt),EN.ATM.CO2E.KT,2955.602,3373.64,3685.335,4250.053,4224.384,4807.437,5166.803,6057.884,6204.564,7759.372,8401.097,9160.166,9284.844,9295.845,10678.304,11019.335,12508.137,14231.627,15753.432,15885.444,16662.848,18690.699,19702.791,21015.577,22346.698,23014.092,25698.336,28272.57,29482.68,30348.092,27333.818,28639.27,33094.675,34964.845,31283.177,31470.194,29123.314,30703.791,39101.221,42716.883,40439.676,37957.117,39636.603,43358.608,41708.458,43871.988,42056.823,43721.641,43978.331,42148.498,40678.031,43794.981,43424.614,45005.091,46222.535,,,
Honduras,HND,CO2 emissions (kt),EN.ATM.CO2E.KT,616.056,737.067,700.397,711.398,722.399,751.735,806.74,876.413,1224.778,1177.107,1389.793,1331.121,1536.473,1510.804,1558.475,1668.485,1778.495,2002.182,2049.853,1932.509,2057.187,1822.499,1763.827,2002.182,1987.514,1906.84,1848.168,2174.531,2504.561,2728.248,2592.569,2698.912,3076.613,2849.259,3336.97,3879.686,3960.36,4158.378,4649.756,4741.431,5031.124,5713.186,6090.887,6769.282,7367.003,7554.02,7007.637,8778.798,8672.455,7873.049,7975.725,8954.814,8984.15,9064.824,9471.861,,,
Heavily indebted poor countries (HIPC),HPC,CO2 emissions (kt),EN.ATM.CO2E.KT,19753.66547,20809.07057,20844.25074,22041.74242,23976.15205,28009.34973,29217.45041,31838.09959,35599.93926,39848.73644,43201.68049,46402.218,47573.14636,51041.32463,52134.1911,52041.26027,50688.18751,52498.47992,54639.60605,55505.72132,60007.29033,58906.9894,60208.0209,60598.33036,58728.56222,62553.59485,55293.83904,61393.81819,66527.31679,70445.28025,60289.80003,57758.36444,59877.18718,61962.55482,64040.488,70600.751,73963.39,76390.944,74385.095,74531.775,77062.005,80094.614,85657.453,90890.262,98341.606,100772.827,108579.87,116174.227,120966.996,124549.655,139386.337,150776.039,160357.91,174501.529,186998.665,,,
Croatia,HRV,CO2 emissions (kt),EN.ATM.CO2E.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16417.159,16750.856,16490.499,16985.544,16956.208,18907.052,20153.832,19992.484,19339.758,20395.854,21473.952,22984.756,22376.034,22592.387,22607.055,23828.166,22592.387,21165.924,20172.167,19809.134,17993.969,17550.262,16842.531,,,
Haiti,HTI,CO2 emissions (kt),EN.ATM.CO2E.KT,286.026,297.027,304.361,249.356,300.694,304.361,304.361,260.357,264.024,315.362,385.035,403.37,392.369,421.705,473.043,484.044,674.728,707.731,755.402,755.402,751.735,766.403,825.075,894.748,913.083,942.419,843.41,913.083,1023.093,1037.761,993.757,997.424,909.416,663.727,300.694,902.082,1034.094,1367.791,1232.112,1331.121,1367.791,1569.476,1826.166,1734.491,1987.514,2075.522,2112.192,2390.884,2398.218,2269.873,2126.86,2218.535,2313.877,2405.552,2860.26,,,
